batch i:539, episode_len:17
batch i:540, episode_len:11
batch i:541, episode_len:13
batch i:542, episode_len:13
batch i:543, episode_len:13
batch i:544, episode_len:37
batch i:545, episode_len:18
batch i:546, episode_len:15
batch i:547, episode_len:9
batch i:548, episode_len:19
batch i:549, episode_len:11
batch i:550, episode_len:21
batch i:551, episode_len:20
batch i:552, episode_len:11
batch i:553, episode_len:34
batch i:554, episode_len:22
batch i:555, episode_len:16
batch i:556, episode_len:13
batch i:557, episode_len:17
batch i:558, episode_len:17
batch i:559, episode_len:13
batch i:560, episode_len:12
batch i:561, episode_len:25
batch i:562, episode_len:26
batch i:563, episode_len:16
batch i:564, episode_len:13
batch i:565, episode_len:22
batch i:566, episode_len:12
batch i:567, episode_len:16
batch i:568, episode_len:12
batch i:569, episode_len:14
batch i:570, episode_len:21
batch i:571, episode_len:19
batch i:572, episode_len:21
batch i:573, episode_len:12
batch i:574, episode_len:13
batch i:575, episode_len:24
batch i:576, episode_len:19
batch i:577, episode_len:24
batch i:578, episode_len:10
batch i:579, episode_len:13
batch i:580, episode_len:11
batch i:581, episode_len:18
batch i:582, episode_len:26
batch i:583, episode_len:16
batch i:584, episode_len:21
batch i:585, episode_len:9
batch i:586, episode_len:14
batch i:587, episode_len:22
batch i:588, episode_len:14
batch i:589, episode_len:18
batch i:590, episode_len:23
batch i:591, episode_len:27
batch i:592, episode_len:14
batch i:593, episode_len:10
batch i:594, episode_len:18
batch i:595, episode_len:12
batch i:596, episode_len:11
batch i:597, episode_len:20
batch i:598, episode_len:16
batch i:599, episode_len:12
batch i:600, episode_len:11
batch i:601, episode_len:19
batch i:602, episode_len:10
batch i:603, episode_len:36
batch i:604, episode_len:25
batch i:605, episode_len:20
batch i:606, episode_len:13
batch i:607, episode_len:27
batch i:608, episode_len:16
batch i:609, episode_len:11
batch i:610, episode_len:16
batch i:611, episode_len:9
batch i:612, episode_len:16
batch i:613, episode_len:13
batch i:614, episode_len:15
batch i:615, episode_len:22
batch i:616, episode_len:18
batch i:617, episode_len:19
batch i:618, episode_len:20
batch i:619, episode_len:15
batch i:620, episode_len:30
batch i:621, episode_len:15
batch i:622, episode_len:11
batch i:623, episode_len:14
batch i:624, episode_len:11
batch i:625, episode_len:16
batch i:626, episode_len:10
batch i:627, episode_len:19
batch i:628, episode_len:15
batch i:629, episode_len:9
batch i:630, episode_len:18
batch i:631, episode_len:16
batch i:632, episode_len:12
batch i:633, episode_len:13
batch i:634, episode_len:18
batch i:635, episode_len:27
batch i:636, episode_len:14
batch i:637, episode_len:16
batch i:638, episode_len:18
batch i:639, episode_len:12
batch i:640, episode_len:10
batch i:641, episode_len:9
batch i:642, episode_len:14
batch i:643, episode_len:15
batch i:644, episode_len:17
batch i:645, episode_len:12
batch i:646, episode_len:12
batch i:647, episode_len:19
batch i:648, episode_len:16
