kl:0.02584,lr_multiplier:0.296,loss:4.032120227813721,entropy:3.5003128051757812,explained_var_old:0.364,explained_var_new:0.432
kl:0.01685,lr_multiplier:0.296,loss:4.0554986000061035,entropy:3.4542412757873535,explained_var_old:0.343,explained_var_new:0.418
kl:0.02037,lr_multiplier:0.296,loss:4.04045295715332,entropy:3.4760401248931885,explained_var_old:0.355,explained_var_new:0.435
kl:0.01695,lr_multiplier:0.296,loss:4.028639316558838,entropy:3.537504196166992,explained_var_old:0.393,explained_var_new:0.473
kl:0.02035,lr_multiplier:0.296,loss:4.019698619842529,entropy:3.4898836612701416,explained_var_old:0.375,explained_var_new:0.460
kl:0.02471,lr_multiplier:0.296,loss:4.019007682800293,entropy:3.4261932373046875,explained_var_old:0.328,explained_var_new:0.389
kl:0.04621,lr_multiplier:0.198,loss:3.9828267097473145,entropy:3.4479470252990723,explained_var_old:0.366,explained_var_new:0.444
kl:0.02758,lr_multiplier:0.198,loss:3.9962751865386963,entropy:3.337050437927246,explained_var_old:0.328,explained_var_new:0.394
kl:0.02554,lr_multiplier:0.198,loss:3.9275388717651367,entropy:3.49948787689209,explained_var_old:0.418,explained_var_new:0.483
kl:0.01525,lr_multiplier:0.198,loss:3.9623279571533203,entropy:3.3885014057159424,explained_var_old:0.370,explained_var_new:0.429
kl:0.01521,lr_multiplier:0.198,loss:3.9529478549957275,entropy:3.3724985122680664,explained_var_old:0.362,explained_var_new:0.415
kl:0.00972,lr_multiplier:0.296,loss:3.9265995025634766,entropy:3.355712890625,explained_var_old:0.393,explained_var_new:0.456
kl:0.01814,lr_multiplier:0.296,loss:3.935070037841797,entropy:3.403611183166504,explained_var_old:0.376,explained_var_new:0.454
kl:0.01801,lr_multiplier:0.296,loss:3.9104089736938477,entropy:3.3632946014404297,explained_var_old:0.329,explained_var_new:0.418
kl:0.02620,lr_multiplier:0.296,loss:3.938326835632324,entropy:3.382216453552246,explained_var_old:0.398,explained_var_new:0.467
kl:0.02705,lr_multiplier:0.296,loss:3.880068778991699,entropy:3.366565227508545,explained_var_old:0.394,explained_var_new:0.469
kl:0.03209,lr_multiplier:0.296,loss:3.9419636726379395,entropy:3.3024213314056396,explained_var_old:0.313,explained_var_new:0.409
kl:0.03461,lr_multiplier:0.296,loss:3.8985705375671387,entropy:3.4123358726501465,explained_var_old:0.395,explained_var_new:0.484
kl:0.02881,lr_multiplier:0.296,loss:3.8787028789520264,entropy:3.3401756286621094,explained_var_old:0.366,explained_var_new:0.438
kl:0.01776,lr_multiplier:0.296,loss:3.903658628463745,entropy:3.2811574935913086,explained_var_old:0.335,explained_var_new:0.416
kl:0.02587,lr_multiplier:0.296,loss:3.812870502471924,entropy:3.306858539581299,explained_var_old:0.399,explained_var_new:0.465
kl:0.01686,lr_multiplier:0.296,loss:3.8487508296966553,entropy:3.267841100692749,explained_var_old:0.349,explained_var_new:0.429
kl:0.02291,lr_multiplier:0.296,loss:3.779743194580078,entropy:3.2410120964050293,explained_var_old:0.398,explained_var_new:0.481
kl:0.01538,lr_multiplier:0.296,loss:3.840388536453247,entropy:3.3600525856018066,explained_var_old:0.395,explained_var_new:0.448
kl:0.02429,lr_multiplier:0.296,loss:3.8051581382751465,entropy:3.28505277633667,explained_var_old:0.378,explained_var_new:0.465
kl:0.02883,lr_multiplier:0.296,loss:3.820695400238037,entropy:3.286259651184082,explained_var_old:0.414,explained_var_new:0.473
kl:0.01951,lr_multiplier:0.296,loss:3.682692766189575,entropy:3.2289881706237793,explained_var_old:0.453,explained_var_new:0.515
kl:0.03674,lr_multiplier:0.296,loss:3.716360092163086,entropy:3.2479183673858643,explained_var_old:0.434,explained_var_new:0.528
kl:0.01889,lr_multiplier:0.296,loss:3.7511370182037354,entropy:3.180809259414673,explained_var_old:0.421,explained_var_new:0.477
kl:0.02410,lr_multiplier:0.296,loss:3.6991939544677734,entropy:3.2444186210632324,explained_var_old:0.427,explained_var_new:0.504
kl:0.02537,lr_multiplier:0.296,loss:3.7317726612091064,entropy:3.2298004627227783,explained_var_old:0.374,explained_var_new:0.464
kl:0.02127,lr_multiplier:0.296,loss:3.7851343154907227,entropy:3.2162792682647705,explained_var_old:0.336,explained_var_new:0.435
kl:0.01918,lr_multiplier:0.296,loss:3.655435562133789,entropy:3.1762466430664062,explained_var_old:0.412,explained_var_new:0.523
kl:0.02048,lr_multiplier:0.296,loss:3.743522882461548,entropy:3.1505677700042725,explained_var_old:0.315,explained_var_new:0.437
kl:0.01798,lr_multiplier:0.296,loss:3.7640380859375,entropy:3.2375283241271973,explained_var_old:0.359,explained_var_new:0.435
kl:0.01831,lr_multiplier:0.296,loss:3.779684066772461,entropy:3.263556480407715,explained_var_old:0.390,explained_var_new:0.462
kl:0.02242,lr_multiplier:0.296,loss:3.705993175506592,entropy:3.11179780960083,explained_var_old:0.288,explained_var_new:0.383
kl:0.01911,lr_multiplier:0.296,loss:3.691107749938965,entropy:3.129793643951416,explained_var_old:0.367,explained_var_new:0.443
kl:0.02071,lr_multiplier:0.296,loss:3.638430118560791,entropy:3.16677188873291,explained_var_old:0.416,explained_var_new:0.483
kl:0.02296,lr_multiplier:0.296,loss:3.642336845397949,entropy:3.142275333404541,explained_var_old:0.352,explained_var_new:0.456
kl:0.02030,lr_multiplier:0.296,loss:3.709383010864258,entropy:3.096508264541626,explained_var_old:0.354,explained_var_new:0.427
kl:0.02092,lr_multiplier:0.296,loss:3.6783952713012695,entropy:3.0912747383117676,explained_var_old:0.366,explained_var_new:0.442
kl:0.01795,lr_multiplier:0.296,loss:3.6417629718780518,entropy:3.190450668334961,explained_var_old:0.436,explained_var_new:0.517
kl:0.01913,lr_multiplier:0.296,loss:3.5706114768981934,entropy:3.078721523284912,explained_var_old:0.401,explained_var_new:0.485
kl:0.02258,lr_multiplier:0.296,loss:3.622279644012451,entropy:3.033338785171509,explained_var_old:0.342,explained_var_new:0.429
kl:0.02687,lr_multiplier:0.296,loss:3.6597936153411865,entropy:3.0767409801483154,explained_var_old:0.321,explained_var_new:0.409
kl:0.02010,lr_multiplier:0.296,loss:3.730876922607422,entropy:3.127230644226074,explained_var_old:0.299,explained_var_new:0.377
kl:0.01748,lr_multiplier:0.296,loss:3.670314311981201,entropy:3.077843427658081,explained_var_old:0.359,explained_var_new:0.420
kl:0.01658,lr_multiplier:0.296,loss:3.66471791267395,entropy:3.0468437671661377,explained_var_old:0.321,explained_var_new:0.393
kl:0.01835,lr_multiplier:0.296,loss:3.627615451812744,entropy:3.0526652336120605,explained_var_old:0.357,explained_var_new:0.412
kl:0.02073,lr_multiplier:0.296,loss:3.5949103832244873,entropy:3.0773274898529053,explained_var_old:0.387,explained_var_new:0.467
kl:0.02574,lr_multiplier:0.296,loss:3.4976465702056885,entropy:2.9687395095825195,explained_var_old:0.446,explained_var_new:0.532
kl:0.02476,lr_multiplier:0.296,loss:3.4864604473114014,entropy:2.988252878189087,explained_var_old:0.469,explained_var_new:0.536
kl:0.02597,lr_multiplier:0.296,loss:3.461958646774292,entropy:2.9999284744262695,explained_var_old:0.409,explained_var_new:0.476
kl:0.01700,lr_multiplier:0.296,loss:3.4921813011169434,entropy:2.943253993988037,explained_var_old:0.379,explained_var_new:0.455
kl:0.02791,lr_multiplier:0.296,loss:3.529411554336548,entropy:3.0049545764923096,explained_var_old:0.418,explained_var_new:0.481
kl:0.01831,lr_multiplier:0.296,loss:3.507091760635376,entropy:3.028132915496826,explained_var_old:0.433,explained_var_new:0.496
kl:0.01995,lr_multiplier:0.296,loss:3.435730457305908,entropy:2.96703839302063,explained_var_old:0.432,explained_var_new:0.491
kl:0.02733,lr_multiplier:0.296,loss:3.4447200298309326,entropy:2.941291570663452,explained_var_old:0.400,explained_var_new:0.488
kl:0.01975,lr_multiplier:0.296,loss:3.498319149017334,entropy:2.988123655319214,explained_var_old:0.450,explained_var_new:0.507
kl:0.01615,lr_multiplier:0.296,loss:3.5208301544189453,entropy:2.9497509002685547,explained_var_old:0.373,explained_var_new:0.452
kl:0.01604,lr_multiplier:0.296,loss:3.4697587490081787,entropy:2.9679698944091797,explained_var_old:0.414,explained_var_new:0.498
kl:0.02551,lr_multiplier:0.296,loss:3.4486141204833984,entropy:2.8967556953430176,explained_var_old:0.388,explained_var_new:0.449
kl:0.02005,lr_multiplier:0.296,loss:3.490370988845825,entropy:3.003666400909424,explained_var_old:0.393,explained_var_new:0.472
kl:0.02674,lr_multiplier:0.296,loss:3.5264484882354736,entropy:2.9690346717834473,explained_var_old:0.313,explained_var_new:0.402
kl:0.02661,lr_multiplier:0.296,loss:3.4127655029296875,entropy:2.8691470623016357,explained_var_old:0.438,explained_var_new:0.505
kl:0.02892,lr_multiplier:0.296,loss:3.436893939971924,entropy:2.868190288543701,explained_var_old:0.379,explained_var_new:0.453
kl:0.01814,lr_multiplier:0.296,loss:3.439761161804199,entropy:2.9476912021636963,explained_var_old:0.399,explained_var_new:0.467
kl:0.03135,lr_multiplier:0.296,loss:3.3857979774475098,entropy:2.895801544189453,explained_var_old:0.420,explained_var_new:0.506
kl:0.02341,lr_multiplier:0.296,loss:3.4324684143066406,entropy:2.8197684288024902,explained_var_old:0.373,explained_var_new:0.442
kl:0.03125,lr_multiplier:0.296,loss:3.2946250438690186,entropy:2.8574635982513428,explained_var_old:0.485,explained_var_new:0.561
kl:0.02474,lr_multiplier:0.296,loss:3.3973312377929688,entropy:2.915347099304199,explained_var_old:0.430,explained_var_new:0.511
kl:0.02404,lr_multiplier:0.296,loss:3.3056695461273193,entropy:2.862154483795166,explained_var_old:0.477,explained_var_new:0.545
kl:0.02674,lr_multiplier:0.296,loss:3.351346492767334,entropy:2.850383758544922,explained_var_old:0.383,explained_var_new:0.469
kl:0.02774,lr_multiplier:0.296,loss:3.396686553955078,entropy:2.778592824935913,explained_var_old:0.374,explained_var_new:0.451
kl:0.02579,lr_multiplier:0.296,loss:3.354611396789551,entropy:2.794679641723633,explained_var_old:0.396,explained_var_new:0.481
kl:0.03472,lr_multiplier:0.296,loss:3.325403928756714,entropy:2.842095375061035,explained_var_old:0.360,explained_var_new:0.470
kl:0.02630,lr_multiplier:0.296,loss:3.2891910076141357,entropy:2.8003602027893066,explained_var_old:0.427,explained_var_new:0.495
kl:0.02776,lr_multiplier:0.296,loss:3.270540475845337,entropy:2.7907931804656982,explained_var_old:0.416,explained_var_new:0.495
kl:0.02478,lr_multiplier:0.296,loss:3.4329748153686523,entropy:2.869077682495117,explained_var_old:0.332,explained_var_new:0.421
kl:0.01808,lr_multiplier:0.296,loss:3.271144390106201,entropy:2.801208019256592,explained_var_old:0.449,explained_var_new:0.529
kl:0.01964,lr_multiplier:0.296,loss:3.314497470855713,entropy:2.765626907348633,explained_var_old:0.362,explained_var_new:0.453
kl:0.02066,lr_multiplier:0.296,loss:3.403771162033081,entropy:2.7769083976745605,explained_var_old:0.318,explained_var_new:0.390
kl:0.01741,lr_multiplier:0.296,loss:3.320204257965088,entropy:2.776035785675049,explained_var_old:0.397,explained_var_new:0.486
kl:0.01179,lr_multiplier:0.296,loss:3.344054698944092,entropy:2.830739736557007,explained_var_old:0.381,explained_var_new:0.453
kl:0.01335,lr_multiplier:0.296,loss:3.261422872543335,entropy:2.7388038635253906,explained_var_old:0.400,explained_var_new:0.467
kl:0.01698,lr_multiplier:0.296,loss:3.3401286602020264,entropy:2.787844181060791,explained_var_old:0.382,explained_var_new:0.479
kl:0.01825,lr_multiplier:0.296,loss:3.240602493286133,entropy:2.760080575942993,explained_var_old:0.444,explained_var_new:0.520
kl:0.01660,lr_multiplier:0.296,loss:3.25711727142334,entropy:2.7489023208618164,explained_var_old:0.392,explained_var_new:0.488
kl:0.01951,lr_multiplier:0.296,loss:3.192688226699829,entropy:2.710174560546875,explained_var_old:0.444,explained_var_new:0.511
kl:0.01492,lr_multiplier:0.296,loss:3.092463493347168,entropy:2.6500251293182373,explained_var_old:0.490,explained_var_new:0.567
